id,name,lat,lng,brand,inactive,address,city,state,postcode,telephone,country,amenities,website_url,formatted_address,mdm_site_category,open_status,fuels
10001826,200 EAST BLVD,35.211841,-80.857278,Shell,False,200 EAST BLVD,CHARLOTTE,North Carolina,28203-0000,+1 704-333-0807,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10001826-200-east-blvd,"200 EAST BLVD
CHARLOTTE, North Carolina, 28203-0000",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10015953,923 S KINGS DR,35.205978,-80.835914,Shell,False,923 S KINGS DR,CHARLOTTE,North Carolina,28204-3051,+1 704-332-7262,United States,"atm,atm_in,mobile_payment,loyalty_cards,vehicle_identity_system,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10015953-923-s-kings-dr,"923 S KINGS DR
CHARLOTTE, North Carolina, 28204-3051",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10015945,527 PROVIDENCE RD,35.202746,-80.824576,Shell,False,527 PROVIDENCE RD,CHARLOTTE,North Carolina,28207-1601,+1 704-375-2775,United States,"atm,atm_in,carwash,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10015945-527-providence-rd,"527 PROVIDENCE RD
CHARLOTTE, North Carolina, 28207-1601",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10003958,2507 PARK RD,35.196375,-80.850971,Shell,False,2507 PARK RD,CHARLOTTE,North Carolina,28203-5928,+1 704-335-0905,United States,"atm,atm_in,mobile_payment,loyalty_cards,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10003958-2507-park-rd,"2507 PARK RD
CHARLOTTE, North Carolina, 28203-5928",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel,fuelsave_98"
10001894,1312 LASALLE ST,35.261192,-80.843183,Shell,False,1312 LASALLE ST,CHARLOTTE,North Carolina,28216-4737,+1 980-225-9695,United States,"atm,atm_in,mobile_payment,loyalty_cards,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10001894-1312-lasalle-st,"1312 LASALLE ST
CHARLOTTE, North Carolina, 28216-4737",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10005464,2736 FREEDOM DR,35.239417,-80.884729,Shell,False,2736 FREEDOM DR,CHARLOTTE,North Carolina,28208-3854,+1 704-392-5010,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10005464-2736-freedom-dr,"2736 FREEDOM DR
CHARLOTTE, North Carolina, 28208-3854",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10000462,2630 BEATTIES FORD RD,35.270196,-80.853668,Shell,False,2630 BEATTIES FORD RD,CHARLOTTE,North Carolina,28216-4320,+1 704-392-8841,United States,"atm,atm_in,carwash,mobile_payment,loyalty_cards,twenty_four_hour,shop,adblue_car,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10000462-2630-beatties-ford-rd,"2630 BEATTIES FORD RD
CHARLOTTE, North Carolina, 28216-4320",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10004584,4200 GLENWOOD DR,35.25539,-80.889436,Shell,False,4200 GLENWOOD DR,CHARLOTTE,North Carolina,28208-2304,+1 704-395-3591,United States,"atm,atm_in,mobile_payment,food_offerings,loyalty_cards,twenty_four_hour,restaurant,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10004584-4200-glenwood-dr,"4200 GLENWOOD DR
CHARLOTTE, North Carolina, 28208-2304",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10014833,4200 STATESVILLE RD,35.276376,-80.83454,Shell,False,4200 STATESVILLE RD,CHARLOTTE,North Carolina,28269-4244,+1 704-921-3074,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10014833-4200-statesville-rd,"4200 STATESVILLE RD
CHARLOTTE, North Carolina, 28269-4244",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10001827,1500 EASTWAY DR,35.236575,-80.775839,Shell,False,1500 EASTWAY DR,CHARLOTTE,North Carolina,28205-2208,+1 704-568-8049,United States,"atm,atm_in,mobile_payment,food_offerings,loyalty_cards,twenty_four_hour,restaurant,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10001827-1500-eastway-dr,"1500 EASTWAY DR
CHARLOTTE, North Carolina, 28205-2208",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,fuelsave_98"
10051108,4601 STATESVILLE RD,35.283331,-80.835482,Shell,False,4601 STATESVILLE RD,CHARLOTTE,North Carolina,28269-4251,+1 704-597-5393,United States,"mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10051108-4601-statesville-rd,"4601 STATESVILLE RD
CHARLOTTE, North Carolina, 28269-4251",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10014823,629 E WOODLAWN RD,35.174359,-80.87,Shell,False,629 E WOODLAWN RD,CHARLOTTE,North Carolina,28209-4930,+1 704-790-6433,United States,"mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10014823-629-e-woodlawn-rd,"629 E WOODLAWN RD
CHARLOTTE, North Carolina, 28209-4930",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
12621801,1125 W SUGAR CREEK RD,35.276209,-80.793833,Shell,False,1125 W SUGAR CREEK RD,CHARLOTTE,North Carolina,28213-5419,+1 704-597-8006,United States,"atm,atm_in,mobile_payment,partner_loyalty_accepted,vehicle_identity_system,twenty_four_hour,navigator_fleet_loyalty_discount,shop,loyalty_program,mcx,navigator,air_and_water,navigator_3c_discount,manned",https://find.shell.com/us/fuel/12621801-1125-w-sugar-creek-rd,"1125 W SUGAR CREEK RD
CHARLOTTE, North Carolina, 28213-5419",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10056935,3305 SCOTT FUTRELL DR,35.236984,-80.921545,Shell,False,3305 SCOTT FUTRELL DR,CHARLOTTE,North Carolina,28208-3551,+1 980-219-7401,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10056935-3305-scott-futrell-dr,"3305 SCOTT FUTRELL DR
CHARLOTTE, North Carolina, 28208-3551",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel"
10048610,1300 W SUGAR CREEK RD,35.280054,-80.793221,Shell,False,1300 W SUGAR CREEK RD,CHARLOTTE,North Carolina,28262-4940,+1 704-900-7397,United States,"atm,atm_in,mobile_payment,loyalty_cards,twenty_four_hour,shop,loyalty_program,mcx,other_loyalty_cards,air_and_water,manned",https://find.shell.com/us/fuel/10048610-1300-w-sugar-creek-rd,"1300 W SUGAR CREEK RD
CHARLOTTE, North Carolina, 28262-4940",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline"
10001659,5600 BROOKSHIRE BLVD,35.280985,-80.897374,Shell,False,5600 BROOKSHIRE BLVD,CHARLOTTE,North Carolina,28216-0000,+1 704-394-6397,United States,"atm,atm_in,mobile_payment,food_offerings,loyalty_cards,twenty_four_hour,restaurant,loyalty_program,mcx,other_loyalty_cards,service_bay,air_and_water,manned",https://find.shell.com/us/fuel/10001659-5600-brookshire-blvd,"5600 BROOKSHIRE BLVD
CHARLOTTE, North Carolina, 28216-0000",Conventional Fuel Site,twenty_four_hour,"premium_gasoline,midgrade_gasoline,low_octane_gasoline,shell_regular_diesel,fuelsave_98"
